customer_id,name,branch_id,join_date,status
101,Stephanie Camacho,3,2025-01-03,Active
102,Anthony Rice,3,2023-06-27,Active
103,Charles Mckay,4,2024-10-12,Inactive
104,Terrence Gregory,1,2024-03-02,Inactive
105,Danielle Rivera,2,2025-06-03,Inactive
106,Karen Dunn,2,2022-12-14,Inactive
107,Rose Hughes,3,2024-05-22,Active
108,Steven Banks,1,2024-03-01,Active
109,Mark Harris,1,2023-02-25,Inactive
110,Miss Alexandra Bailey,4,2022-10-01,Inactive
111,Kristen Gibson,1,2023-02-17,Inactive
112,Cynthia Conner,3,2024-04-23,Active
113,David Choi,3,2024-01-16,Active
114,David Howard,4,2023-02-10,Inactive
115,Sherry Williams,2,2025-01-07,Inactive
116,Andrew Foster,1,2024-10-15,Inactive
117,Julian Jackson,3,2022-11-13,Inactive
118,Anne Johnson,2,2024-11-06,Active
119,Alexandra Esparza,4,2023-08-11,Inactive
120,Carla Stewart,3,2023-08-06,Inactive
121,Brandon Wilkerson,1,2025-09-10,Inactive
122,Melissa Knight,1,2025-03-20,Inactive
123,Michelle Fitzgerald,3,2023-03-25,Active
124,Deborah Myers,2,2023-09-18,Active
125,Matthew Schroeder,4,2024-06-14,Inactive
126,Erica Small,2,2023-10-17,Active
127,Richard Parker,1,2025-04-02,Inactive
128,Joseph Garcia,2,2023-03-01,Inactive
129,Dr. Donna Riddle,1,2023-06-21,Inactive
130,Dean Black,1,2023-03-17,Inactive
131,Haley Nelson,2,2024-04-10,Active
132,Sonia Hartman,2,2024-12-12,Inactive
133,Katie Bowman,3,2023-08-20,Active
134,Tyler Evans,4,2023-09-30,Active
135,Diana Leon,2,2024-08-03,Inactive
136,James Morrow,3,2023-09-18,Active
137,Courtney Parker,4,2022-10-07,Active
138,Kirsten Turner,2,2022-12-25,Inactive
139,Anthony Boyd,1,2025-03-27,Active
140,Brandi Li,4,2023-03-27,Inactive
141,Olivia Anderson,1,2024-11-22,Active
142,Gregory Jenkins,2,2024-05-30,Active
143,Peter Moore,4,2023-03-12,Active
144,Rebecca Franco,4,2023-08-06,Active
145,Janice Poole,2,2022-11-25,Active
146,Matthew Peterson,2,2022-11-25,Active
147,Daniel Mccarthy,1,2023-05-06,Inactive
148,Travis Case,1,2022-09-12,Active
149,Jesse Armstrong,3,2024-12-27,Active
150,Anna Jenkins,2,2024-03-31,Active
